Age,Gender,Skill_Level,Play_Time,Location,Win_Rate,Total_Matches_Played,Favorite_Court_Type,Average_Match_Duration,Coach_Affiliation,Rating_Score
31,Female,Beginner,Afternoon,Sweden,75,328,Indoor,114,No,1809
54,Female,Advanced,Morning,Spain,33,365,Outdoor,42,Yes,1990
53,Female,Beginner,Evening,Argentina,73,93,Indoor,36,Yes,1381
19,Female,Beginner,Afternoon,Portugal,49,331,Outdoor,109,Yes,1880
32,Female,Intermediate,Evening,Qatar,51,337,Indoor,113,No,1042
50,Male,Intermediate,Evening,Germany,81,497,Outdoor,93,No,2179
32,Male,Professional,Afternoon,Portugal,42,252,Outdoor,49,No,2345
34,Male,Intermediate,Evening,United Arab Emirates,70,244,Outdoor,98,No,2029
22,Female,Beginner,Afternoon,Brazil,70,440,Indoor,95,Yes,1228
31,Female,Intermediate,Morning,Netherlands,52,239,Indoor,37,No,1484
40,Female,Beginner,Afternoon,Lebanon,61,276,Outdoor,94,No,1680
52,Male,Professional,Morning,Portugal,65,179,Any,64,No,2319
39,Female,Advanced,Afternoon,Argentina,64,163,Indoor,69,Yes,1077
44,Male,Professional,Afternoon,Argentina,64,457,Any,73,No,2262
55,Female,Intermediate,Afternoon,Germany,84,59,Any,84,Yes,1393
48,Female,Intermediate,Afternoon,Spain,48,107,Any,86,Yes,1782
44,Female,Beginner,Afternoon,United States,58,286,Indoor,82,Yes,1981
51,Female,Beginner,Evening,Mexico,78,32,Any,87,No,1897
32,Female,Intermediate,Evening,United Kingdom,84,30,Any,115,No,1667
55,Male,Advanced,Morning,Mexico,55,403,Indoor,41,Yes,1155
52,Male,Beginner,Afternoon,Germany,44,481,Outdoor,53,Yes,1560
30,Female,Advanced,Evening,United Kingdom,40,222,Any,98,Yes,1558
35,Female,Advanced,Evening,Netherlands,66,74,Outdoor,118,No,2449
23,Female,Professional,Afternoon,Brazil,81,498,Outdoor,90,No,1221
45,Male,Professional,Evening,Denmark,72,211,Any,101,Yes,1210
30,Female,Professional,Evening,United States,44,411,Indoor,111,Yes,2033
55,Female,Beginner,Afternoon,Netherlands,49,174,Indoor,57,No,1421
54,Female,Intermediate,Afternoon,Netherlands,67,70,Outdoor,119,No,1222
39,Female,Professional,Evening,Italy,33,394,Any,59,No,1287
47,Female,Intermediate,Morning,Sweden,87,396,Indoor,112,Yes,1493
29,Male,Intermediate,Morning,United States,38,377,Outdoor,101,No,1759
26,Female,Advanced,Evening,Spain,74,319,Any,119,Yes,2102
29,Female,Advanced,Morning,Qatar,44,394,Any,38,No,2369
21,Female,Beginner,Afternoon,Sweden,67,165,Indoor,36,No,1203
47,Male,Intermediate,Afternoon,Qatar,86,258,Indoor,112,No,2025
53,Male,Intermediate,Morning,Portugal,76,59,Any,51,No,1739
54,Female,Professional,Afternoon,Finland,75,493,Any,92,Yes,2325
34,Female,Beginner,Afternoon,Netherlands,71,53,Outdoor,60,No,1669
35,Female,Intermediate,Afternoon,Saudi Arabia,69,99,Any,42,Yes,1275
29,Male,Intermediate,Evening,United Arab Emirates,84,100,Any,40,No,1125
38,Male,Professional,Morning,Saudi Arabia,32,305,Outdoor,120,Yes,1613
40,Female,Advanced,Morning,Denmark,49,442,Indoor,49,Yes,2260
25,Male,Beginner,Morning,Belgium,78,354,Outdoor,74,Yes,2373
36,Male,Professional,Evening,Lebanon,78,308,Indoor,50,No,2215
40,Male,Advanced,Evening,Germany,35,213,Outdoor,39,Yes,1668
46,Female,Intermediate,Morning,Finland,38,18,Any,112,No,1889
40,Male,Intermediate,Morning,France,33,32,Outdoor,30,Yes,2000
38,Female,Advanced,Morning,United Arab Emirates,86,292,Any,70,Yes,2197
40,Male,Beginner,Evening,Lebanon,76,320,Any,69,No,2402
43,Female,Beginner,Afternoon,United Arab Emirates,86,197,Indoor,31,Yes,1728
18,Male,Beginner,Morning,Mexico,69,125,Any,68,Yes,2216
38,Female,Intermediate,Afternoon,Qatar,66,15,Any,66,Yes,2021
51,Male,Advanced,Evening,United Arab Emirates,67,386,Outdoor,46,No,1317
53,Female,Beginner,Afternoon,United Kingdom,58,389,Indoor,37,No,1793
53,Male,Intermediate,Evening,Sweden,54,87,Any,100,No,1674
51,Male,Advanced,Afternoon,United States,34,407,Outdoor,39,Yes,2105
48,Male,Intermediate,Evening,Mexico,90,251,Indoor,59,Yes,1678
24,Male,Advanced,Evening,France,43,82,Outdoor,91,No,1815
46,Female,Advanced,Evening,Finland,72,490,Indoor,109,Yes,2296
32,Male,Advanced,Morning,Mexico,54,495,Outdoor,67,No,1013
23,Female,Intermediate,Evening,Brazil,57,267,Outdoor,92,Yes,1400
35,Male,Beginner,Evening,Qatar,74,349,Any,112,Yes,1879
33,Male,Professional,Afternoon,Portugal,82,275,Outdoor,31,Yes,2126
38,Male,Professional,Evening,Chile,75,313,Outdoor,93,Yes,1046
35,Male,Beginner,Afternoon,France,63,83,Outdoor,113,No,2183
50,Female,Advanced,Afternoon,Mexico,89,360,Outdoor,113,Yes,1660
43,Female,Beginner,Evening,Lebanon,38,241,Any,81,No,1754
47,Female,Beginner,Morning,Argentina,86,130,Any,53,No,2003
53,Male,Intermediate,Morning,Saudi Arabia,30,116,Indoor,90,No,2130
20,Male,Professional,Morning,France,77,242,Indoor,46,No,1525
54,Male,Intermediate,Morning,Italy,88,122,Any,91,Yes,2077
52,Female,Beginner,Afternoon,Germany,51,370,Outdoor,112,Yes,1435
48,Male,Advanced,Afternoon,Italy,67,238,Indoor,105,Yes,2225
50,Male,Beginner,Evening,Brazil,46,136,Any,43,Yes,2103
27,Male,Professional,Evening,Mexico,82,297,Any,60,No,1256
50,Female,Intermediate,Evening,Brazil,66,334,Outdoor,106,No,2016
46,Male,Professional,Morning,Portugal,87,418,Indoor,75,Yes,2345
51,Male,Advanced,Afternoon,Lebanon,55,50,Indoor,59,No,2032
24,Female,Beginner,Afternoon,Denmark,33,153,Any,67,No,1606
42,Female,Intermediate,Morning,Belgium,79,465,Any,112,Yes,2072
41,Male,Beginner,Afternoon,United Kingdom,53,191,Any,96,Yes,1385
19,Female,Professional,Morning,Italy,76,223,Any,102,Yes,2402
30,Male,Intermediate,Afternoon,Spain,68,408,Indoor,48,No,1357
54,Male,Advanced,Evening,Spain,32,157,Any,77,No,1334
37,Female,Advanced,Evening,Netherlands,70,491,Indoor,48,Yes,1172
55,Male,Intermediate,Morning,Portugal,58,327,Outdoor,45,No,1609
45,Female,Professional,Evening,Lebanon,32,394,Indoor,37,Yes,1154
32,Male,Beginner,Morning,France,63,160,Any,59,Yes,1544
34,Female,Professional,Morning,France,33,309,Outdoor,59,No,2401
44,Male,Professional,Evening,Argentina,80,216,Any,80,Yes,2443
34,Female,Advanced,Afternoon,Saudi Arabia,75,89,Outdoor,116,No,1949
50,Male,Intermediate,Morning,Mexico,66,113,Indoor,47,Yes,1454
52,Female,Advanced,Evening,United Arab Emirates,34,435,Any,48,Yes,1993
54,Male,Professional,Afternoon,Netherlands,65,198,Any,62,No,2375
21,Female,Beginner,Morning,Portugal,56,170,Indoor,111,Yes,1420
47,Male,Beginner,Morning,United Kingdom,73,333,Outdoor,80,No,1177
44,Male,Professional,Morning,Sweden,53,128,Indoor,45,Yes,2220
42,Male,Beginner,Morning,Finland,90,124,Outdoor,89,No,2228
29,Male,Beginner,Afternoon,Denmark,60,388,Any,56,No,1009
49,Male,Intermediate,Morning,Sweden,56,240,Outdoor,104,Yes,1340
27,Male,Advanced,Afternoon,United Arab Emirates,69,399,Indoor,30,No,1754
45,Female,Professional,Afternoon,Italy,63,30,Indoor,35,Yes,1737
40,Female,Professional,Morning,United Kingdom,49,417,Indoor,105,No,1633
20,Female,Beginner,Morning,Spain,52,352,Any,69,No,1768
20,Male,Beginner,Morning,Lebanon,44,196,Any,89,No,1266
54,Female,Intermediate,Morning,Argentina,54,454,Outdoor,98,No,1058
52,Male,Intermediate,Afternoon,Sweden,55,469,Indoor,74,No,2100
41,Female,Advanced,Morning,Spain,84,151,Any,93,No,1635
30,Male,Beginner,Evening,Finland,81,172,Indoor,110,Yes,1091
24,Male,Intermediate,Evening,Germany,42,194,Indoor,72,Yes,1705
30,Male,Advanced,Evening,United Kingdom,50,246,Outdoor,64,Yes,1265
19,Female,Beginner,Evening,Portugal,78,304,Indoor,38,No,1003
54,Male,Advanced,Afternoon,Lebanon,90,354,Outdoor,79,Yes,1692
54,Male,Professional,Evening,Spain,80,492,Outdoor,54,No,1829
34,Male,Professional,Morning,Argentina,39,438,Outdoor,114,Yes,1054
32,Male,Intermediate,Morning,United States,59,234,Indoor,107,No,1094
32,Male,Professional,Evening,Brazil,82,58,Indoor,89,Yes,1923
53,Female,Professional,Morning,Qatar,61,372,Outdoor,88,Yes,2377
55,Female,Beginner,Afternoon,Argentina,37,167,Indoor,66,Yes,1040
38,Male,Beginner,Afternoon,Germany,34,316,Any,109,Yes,2485
29,Female,Advanced,Morning,Belgium,86,366,Outdoor,46,No,1385
36,Female,Advanced,Morning,France,34,383,Outdoor,42,Yes,1326
43,Male,Professional,Morning,Qatar,53,41,Outdoor,66,No,2088
26,Male,Advanced,Morning,Germany,40,425,Indoor,37,Yes,2431
21,Male,Beginner,Afternoon,Denmark,66,154,Outdoor,116,Yes,1788
22,Female,Intermediate,Afternoon,Mexico,47,230,Outdoor,115,No,2124
48,Female,Intermediate,Evening,Portugal,55,495,Outdoor,51,No,2256
52,Female,Professional,Morning,France,77,23,Outdoor,95,Yes,1827
28,Female,Beginner,Evening,Finland,65,283,Indoor,76,No,1964
34,Male,Professional,Evening,United States,78,364,Any,33,No,2033
29,Female,Advanced,Morning,Saudi Arabia,35,165,Any,36,No,1030
51,Male,Beginner,Afternoon,United States,80,435,Outdoor,117,Yes,1491
39,Male,Beginner,Morning,United Arab Emirates,68,142,Any,66,No,1770
46,Male,Professional,Morning,Sweden,48,212,Indoor,38,No,2072
27,Female,Intermediate,Evening,United Kingdom,61,235,Indoor,73,Yes,1382
41,Male,Advanced,Afternoon,Spain,31,267,Indoor,90,No,1333
25,Male,Advanced,Evening,Mexico,48,451,Outdoor,86,No,1176
55,Female,Advanced,Evening,Netherlands,88,493,Any,108,Yes,1105
42,Male,Professional,Morning,Argentina,74,399,Indoor,38,Yes,1617
44,Male,Beginner,Evening,Netherlands,36,14,Indoor,67,Yes,1750
27,Male,Advanced,Morning,Brazil,71,298,Outdoor,90,No,2440
50,Male,Professional,Morning,United Arab Emirates,30,71,Outdoor,101,No,1734
40,Male,Beginner,Afternoon,United Kingdom,43,323,Indoor,37,No,1416
40,Female,Intermediate,Evening,Germany,42,461,Outdoor,36,Yes,2038
51,Female,Intermediate,Morning,Portugal,67,389,Any,63,No,2152
37,Male,Professional,Evening,Germany,53,492,Indoor,38,No,1270
20,Male,Intermediate,Evening,Denmark,56,438,Indoor,53,No,1539
53,Female,Beginner,Morning,United States,34,301,Indoor,44,No,1894
55,Female,Intermediate,Morning,Denmark,76,82,Indoor,34,Yes,1038
48,Female,Beginner,Morning,Portugal,30,314,Any,94,No,1318
49,Female,Beginner,Afternoon,Spain,36,346,Indoor,96,Yes,1213
51,Female,Advanced,Afternoon,Lebanon,48,27,Outdoor,75,No,1295
52,Female,Advanced,Afternoon,Chile,68,67,Indoor,84,No,2399
18,Female,Intermediate,Afternoon,Argentina,37,473,Outdoor,108,No,1466
39,Male,Intermediate,Afternoon,Portugal,78,231,Any,69,Yes,1896
25,Male,Professional,Afternoon,Spain,57,387,Outdoor,48,No,2052
39,Female,Beginner,Evening,Italy,62,44,Any,47,Yes,2036
52,Male,Intermediate,Evening,Germany,73,418,Any,108,Yes,2169
22,Male,Beginner,Afternoon,Denmark,47,303,Outdoor,76,Yes,1728
31,Male,Beginner,Evening,Mexico,79,154,Indoor,34,No,1770
21,Female,Professional,Morning,Argentina,90,140,Any,44,Yes,1373
23,Male,Beginner,Evening,Chile,55,270,Indoor,98,No,1911
25,Female,Beginner,Afternoon,Finland,87,106,Any,58,Yes,2151
31,Male,Advanced,Evening,France,59,267,Any,104,No,1053
51,Female,Advanced,Morning,Argentina,54,371,Outdoor,115,Yes,1433
44,Female,Advanced,Morning,Belgium,40,340,Indoor,67,No,1420
18,Male,Advanced,Morning,Sweden,75,440,Indoor,85,No,2231
25,Female,Intermediate,Morning,Spain,88,210,Any,111,No,1189
49,Female,Beginner,Afternoon,United States,53,127,Outdoor,50,No,1514
29,Male,Beginner,Afternoon,Netherlands,86,293,Outdoor,79,No,1837
43,Male,Professional,Evening,Lebanon,78,97,Outdoor,78,Yes,1311
51,Male,Intermediate,Morning,Portugal,61,10,Indoor,66,Yes,1896
42,Male,Intermediate,Morning,Argentina,52,78,Outdoor,37,No,2498
45,Male,Advanced,Evening,Qatar,70,339,Outdoor,54,No,1769
22,Female,Professional,Evening,Spain,62,125,Outdoor,113,No,1661
19,Female,Intermediate,Afternoon,Denmark,50,37,Any,34,Yes,1768
40,Female,Professional,Afternoon,Lebanon,57,253,Outdoor,116,Yes,1507
50,Male,Intermediate,Morning,Lebanon,47,341,Outdoor,106,Yes,2038
46,Female,Advanced,Afternoon,Chile,55,130,Indoor,109,Yes,1990
37,Female,Beginner,Morning,United Kingdom,30,29,Outdoor,34,Yes,2254
49,Female,Advanced,Evening,Qatar,36,262,Any,76,Yes,1151
21,Female,Advanced,Afternoon,Mexico,71,333,Any,38,Yes,1093
43,Male,Professional,Morning,Belgium,77,423,Indoor,109,No,1430
28,Female,Beginner,Morning,Sweden,89,462,Outdoor,111,No,2360
53,Female,Advanced,Afternoon,United Kingdom,40,220,Outdoor,74,Yes,2188
22,Male,Intermediate,Morning,Belgium,77,487,Any,56,Yes,1405
39,Male,Beginner,Morning,Belgium,33,59,Outdoor,74,No,2100
47,Male,Advanced,Morning,Sweden,42,411,Indoor,70,Yes,1062
29,Male,Intermediate,Evening,Netherlands,44,116,Indoor,74,No,2115
20,Female,Beginner,Evening,Chile,55,196,Any,59,Yes,1526
41,Male,Beginner,Afternoon,United Arab Emirates,33,15,Outdoor,30,No,1124
23,Female,Professional,Evening,United Arab Emirates,70,370,Indoor,41,Yes,2392
39,Male,Intermediate,Afternoon,United States,34,342,Outdoor,100,No,1848
29,Male,Beginner,Evening,Sweden,37,273,Any,36,Yes,1859
50,Male,Beginner,Evening,Netherlands,49,46,Any,49,Yes,2234
50,Female,Advanced,Afternoon,United Kingdom,88,51,Outdoor,44,Yes,1410
27,Male,Professional,Evening,Italy,58,479,Outdoor,45,No,2392
54,Male,Professional,Evening,Sweden,77,365,Any,81,Yes,1656
25,Female,Intermediate,Evening,Netherlands,56,495,Any,93,No,1218
22,Female,Beginner,Afternoon,Lebanon,50,495,Indoor,78,Yes,1815
27,Male,Intermediate,Morning,Finland,49,357,Any,52,Yes,1491
34,Female,Intermediate,Morning,Sweden,66,181,Any,103,No,1901
33,Male,Beginner,Morning,Brazil,35,333,Indoor,66,No,1730
40,Male,Advanced,Afternoon,Brazil,88,344,Outdoor,31,Yes,1001
46,Male,Beginner,Morning,Chile,30,433,Outdoor,92,No,1080
51,Male,Professional,Evening,Finland,30,221,Any,74,No,1091
54,Male,Advanced,Afternoon,Finland,53,393,Any,67,Yes,1672
42,Male,Beginner,Afternoon,Argentina,67,239,Outdoor,76,No,1248
39,Female,Professional,Evening,Germany,44,32,Indoor,103,No,1510
25,Female,Intermediate,Evening,Mexico,54,388,Indoor,50,No,1894
40,Male,Advanced,Evening,Brazil,53,19,Indoor,37,Yes,1272
48,Female,Advanced,Afternoon,United Kingdom,31,246,Any,92,Yes,2258
34,Female,Professional,Evening,Portugal,59,356,Any,113,No,1630
46,Female,Intermediate,Morning,Brazil,37,454,Outdoor,85,No,1705
35,Female,Intermediate,Evening,Italy,68,133,Any,50,No,1106
47,Male,Professional,Afternoon,Italy,75,319,Outdoor,103,No,1893
52,Female,Advanced,Evening,Qatar,42,21,Any,45,No,1216
32,Female,Intermediate,Afternoon,Belgium,85,102,Any,98,No,1274
53,Male,Advanced,Morning,United States,85,488,Indoor,31,Yes,1804
52,Female,Intermediate,Morning,Argentina,40,178,Indoor,36,Yes,1123
46,Female,Beginner,Morning,Argentina,58,488,Outdoor,92,No,1313
23,Male,Beginner,Afternoon,United Kingdom,60,369,Any,70,Yes,2008
29,Female,Professional,Afternoon,Finland,32,243,Any,43,No,1299
19,Male,Professional,Evening,United Arab Emirates,56,464,Outdoor,89,No,1413
34,Male,Advanced,Evening,Lebanon,73,11,Any,66,Yes,1184
24,Female,Professional,Evening,Sweden,41,378,Indoor,42,Yes,1580
33,Female,Beginner,Afternoon,United States,71,10,Outdoor,68,No,2130
24,Male,Professional,Morning,Italy,35,331,Indoor,119,No,1335
36,Male,Beginner,Evening,Lebanon,69,429,Outdoor,81,Yes,1546
18,Male,Professional,Afternoon,Brazil,64,277,Any,93,Yes,1777
22,Male,Advanced,Afternoon,Mexico,73,110,Outdoor,34,No,1971
23,Male,Beginner,Afternoon,Sweden,41,196,Outdoor,66,Yes,2218
23,Female,Beginner,Afternoon,Belgium,34,98,Outdoor,84,No,2393
33,Female,Professional,Evening,Saudi Arabia,86,215,Indoor,113,No,1073
23,Male,Professional,Morning,Portugal,70,412,Indoor,78,Yes,1400
45,Female,Advanced,Morning,Spain,68,382,Any,70,No,2077
24,Male,Beginner,Afternoon,Portugal,58,237,Indoor,37,No,1209
47,Male,Professional,Afternoon,Sweden,50,397,Indoor,57,No,1985
21,Male,Beginner,Afternoon,Qatar,90,482,Indoor,33,Yes,1937
44,Male,Intermediate,Evening,Germany,76,461,Outdoor,40,No,1163
23,Male,Beginner,Evening,Sweden,78,282,Indoor,92,No,1622
47,Female,Beginner,Evening,Mexico,84,217,Any,85,No,1810
45,Male,Advanced,Afternoon,Portugal,72,156,Outdoor,103,Yes,2041
33,Female,Intermediate,Afternoon,Italy,64,345,Any,120,No,1826
32,Male,Beginner,Evening,Netherlands,71,173,Any,114,No,1331
38,Male,Intermediate,Morning,Argentina,45,161,Outdoor,78,No,1731
50,Female,Professional,Morning,United States,77,253,Any,103,Yes,1855
23,Male,Intermediate,Evening,Finland,56,228,Indoor,84,Yes,1518
37,Female,Beginner,Morning,Argentina,71,75,Outdoor,63,Yes,2471
24,Female,Beginner,Afternoon,Portugal,63,248,Any,42,No,1006
35,Female,Advanced,Afternoon,Germany,47,463,Outdoor,38,No,1741
24,Male,Advanced,Afternoon,United States,31,245,Indoor,78,No,1535
18,Female,Beginner,Morning,Mexico,39,70,Indoor,74,Yes,1226
20,Male,Advanced,Afternoon,United Arab Emirates,32,185,Any,70,No,2153
48,Male,Beginner,Afternoon,Sweden,52,59,Indoor,65,No,2275
41,Female,Beginner,Afternoon,Belgium,89,110,Outdoor,42,No,2469
54,Male,Advanced,Afternoon,Mexico,31,274,Outdoor,66,Yes,1429
37,Female,Intermediate,Afternoon,Spain,89,483,Indoor,86,Yes,1161
32,Female,Advanced,Evening,Belgium,79,42,Outdoor,46,Yes,2101
37,Male,Advanced,Afternoon,Argentina,57,461,Any,107,Yes,2092
21,Male,Intermediate,Evening,Denmark,31,90,Any,36,Yes,2204
54,Male,Advanced,Evening,United Arab Emirates,66,263,Outdoor,71,No,1862
52,Female,Beginner,Morning,Germany,41,217,Indoor,116,Yes,2192
52,Female,Advanced,Evening,Finland,37,479,Any,40,No,2489
42,Female,Intermediate,Morning,Finland,38,166,Any,115,No,1596
37,Male,Intermediate,Evening,France,46,125,Any,119,No,1540
51,Male,Beginner,Evening,United Kingdom,61,485,Any,63,No,1242
20,Male,Professional,Morning,Saudi Arabia,47,73,Any,103,No,2461
19,Female,Advanced,Afternoon,Qatar,69,51,Indoor,102,Yes,2161
38,Male,Beginner,Afternoon,United Arab Emirates,60,283,Outdoor,67,No,1207
31,Male,Advanced,Evening,Brazil,74,448,Outdoor,95,Yes,1203
45,Male,Intermediate,Afternoon,United States,70,143,Any,63,No,1635
32,Female,Advanced,Morning,Sweden,59,341,Indoor,50,Yes,1824
21,Female,Professional,Morning,United States,82,307,Outdoor,93,No,1756
53,Male,Professional,Evening,Lebanon,31,145,Any,41,No,2082
50,Male,Beginner,Morning,France,31,359,Outdoor,60,Yes,1414
31,Female,Intermediate,Morning,Finland,86,68,Any,100,Yes,1793
37,Male,Beginner,Afternoon,Spain,88,481,Indoor,73,Yes,2091
54,Male,Advanced,Evening,Sweden,84,302,Any,95,Yes,1868
38,Male,Beginner,Afternoon,Netherlands,57,336,Any,112,Yes,1782
24,Female,Beginner,Afternoon,Belgium,70,11,Any,107,No,2022
27,Female,Advanced,Morning,Italy,61,300,Outdoor,38,No,1101
28,Male,Advanced,Evening,Italy,34,49,Any,38,Yes,1227
19,Female,Advanced,Morning,Finland,58,412,Any,80,Yes,2457
24,Male,Professional,Afternoon,Spain,78,329,Outdoor,43,Yes,1204
27,Male,Beginner,Afternoon,Italy,89,438,Indoor,53,No,2048
41,Male,Intermediate,Evening,Sweden,53,420,Indoor,108,Yes,1342
36,Female,Advanced,Morning,United Kingdom,59,340,Indoor,33,Yes,1089
54,Female,Advanced,Afternoon,Italy,77,25,Any,51,No,1714
41,Male,Advanced,Morning,Qatar,65,304,Outdoor,38,Yes,2183
44,Female,Intermediate,Afternoon,Chile,76,291,Any,74,Yes,1465
44,Female,Intermediate,Evening,Chile,61,145,Any,109,Yes,2089
37,Male,Beginner,Evening,United States,81,185,Indoor,60,Yes,1627
28,Female,Advanced,Morning,Brazil,77,332,Indoor,120,Yes,2104
34,Female,Professional,Evening,Finland,33,454,Any,114,Yes,2459
39,Female,Advanced,Morning,Chile,68,275,Any,42,Yes,1616
46,Male,Beginner,Morning,Sweden,50,106,Indoor,102,No,1413
39,Male,Professional,Evening,United States,60,332,Outdoor,42,No,1017
32,Female,Intermediate,Morning,Netherlands,62,87,Outdoor,38,No,1495
46,Male,Beginner,Afternoon,France,83,200,Any,110,No,1843
50,Female,Professional,Afternoon,Mexico,66,259,Any,73,No,2129
48,Male,Beginner,Evening,Belgium,41,242,Any,73,Yes,1678
52,Female,Professional,Afternoon,Spain,85,64,Outdoor,79,No,2127
27,Female,Intermediate,Morning,Sweden,62,342,Indoor,94,No,1740
18,Male,Beginner,Afternoon,Lebanon,68,101,Indoor,75,No,1906
30,Female,Beginner,Morning,Qatar,34,278,Any,42,Yes,1113
45,Female,Intermediate,Afternoon,Sweden,61,115,Any,101,No,1377
44,Female,Professional,Afternoon,Spain,75,183,Any,71,Yes,2388
40,Female,Advanced,Morning,United Arab Emirates,57,305,Indoor,49,No,1709
24,Female,Advanced,Evening,Brazil,72,248,Any,112,No,2246
23,Female,Beginner,Morning,Lebanon,49,167,Any,118,Yes,1659
22,Female,Professional,Afternoon,Qatar,43,65,Indoor,88,No,1538
52,Male,Advanced,Afternoon,Qatar,32,278,Any,95,Yes,2233
30,Male,Professional,Morning,Qatar,36,341,Indoor,93,No,1048
23,Female,Advanced,Morning,Netherlands,57,391,Indoor,76,No,2328
47,Male,Professional,Morning,Brazil,62,259,Any,44,No,1694
52,Female,Intermediate,Morning,Netherlands,36,264,Any,68,Yes,1261
32,Male,Beginner,Afternoon,United Arab Emirates,37,342,Any,87,Yes,1275
55,Male,Intermediate,Afternoon,Portugal,65,289,Indoor,89,Yes,2337
49,Male,Beginner,Afternoon,Lebanon,55,302,Any,44,Yes,2418
36,Female,Professional,Afternoon,United Kingdom,44,121,Indoor,63,No,2415
35,Female,Advanced,Evening,Netherlands,48,500,Outdoor,103,No,2030
39,Female,Professional,Morning,Sweden,78,163,Any,114,No,1742
52,Female,Beginner,Morning,Saudi Arabia,79,311,Any,88,No,1280
49,Male,Intermediate,Afternoon,Chile,36,417,Any,60,No,1456
34,Male,Professional,Afternoon,Saudi Arabia,71,427,Indoor,91,No,2468
37,Male,Intermediate,Afternoon,France,59,486,Any,55,No,2005
23,Male,Advanced,Afternoon,Sweden,39,94,Indoor,114,No,1814
24,Male,Intermediate,Evening,Portugal,70,188,Any,116,Yes,2423
42,Male,Advanced,Evening,Qatar,73,394,Indoor,47,Yes,1472
24,Male,Professional,Afternoon,United Kingdom,69,204,Indoor,30,Yes,1176
46,Female,Professional,Afternoon,Lebanon,53,219,Any,99,Yes,1832
53,Female,Advanced,Evening,Denmark,55,345,Any,84,No,1660
36,Male,Professional,Morning,Finland,43,468,Outdoor,45,No,1274
51,Male,Intermediate,Evening,Finland,42,463,Any,39,No,2334
20,Male,Professional,Morning,Finland,67,97,Outdoor,34,Yes,1193
46,Male,Beginner,Evening,Portugal,54,27,Outdoor,109,No,1580
46,Male,Professional,Evening,Qatar,82,100,Indoor,69,No,1939
50,Female,Professional,Evening,Chile,50,394,Outdoor,36,Yes,2445
43,Male,Professional,Morning,United Arab Emirates,72,361,Outdoor,33,No,2221
33,Female,Professional,Afternoon,Denmark,61,332,Outdoor,65,Yes,1508
19,Female,Advanced,Afternoon,Denmark,90,496,Outdoor,72,Yes,1446
47,Male,Professional,Afternoon,Lebanon,61,478,Outdoor,73,Yes,1875
51,Male,Beginner,Morning,United Arab Emirates,33,357,Indoor,119,No,1576
45,Female,Advanced,Morning,Portugal,31,94,Outdoor,115,Yes,2313
27,Male,Advanced,Afternoon,Lebanon,68,410,Outdoor,83,No,1800
39,Male,Advanced,Morning,Finland,59,435,Outdoor,100,Yes,2130
32,Male,Professional,Morning,United States,50,194,Indoor,78,Yes,1175
