Player_ID,Name,Age,Gender,Skill_Level,Preferred_Play_Time,Location,Win_Rate,Total_Matches_Played,Favorite_Court_Type,Preferred_Play_Style,Average_Match_Duration,Coach_Affiliation,Club_Membership,Rating_Score
c004355f,Player_51,49,Male,Professional,Evening,Beirut,41.05,264,Indoor,Balanced,47,Yes,Club B,1196
34a18e76,Player_52,30,Female,Advanced,Afternoon,Beirut,65.77,430,Outdoor,Balanced,107,No,Club C,1754
6adb6775,Player_53,34,Female,Beginner,Evening,Beirut,72.83,383,Outdoor,Balanced,58,Yes,Club B,1535
8e02998a,Player_54,41,Female,Professional,Afternoon,Dubai,30.13,20,Outdoor,Balanced,103,No,Club A,1217
50d1b54d,Player_55,55,Female,Advanced,Afternoon,London,76.21,24,Any,Defensive,89,No,Club B,1975
fadb9e6b,Player_56,19,Female,Beginner,Afternoon,Beirut,50.9,49,Any,Aggressive,40,No,Club B,1259
f2a4970f,Player_57,50,Male,Beginner,Evening,Dubai,36.55,206,Indoor,Balanced,47,No,No Club,1608
80c7f19d,Player_58,26,Male,Advanced,Evening,Riyadh,44.79,413,Any,Defensive,67,No,Club A,1613
53fd0dcf,Player_59,27,Male,Intermediate,Evening,Riyadh,41.18,77,Indoor,Defensive,113,No,No Club,1973
c2b670fc,Player_60,28,Female,Intermediate,Evening,London,51.12,51,Outdoor,Balanced,93,No,Club A,2053
8d863aa2,Player_61,20,Male,Advanced,Morning,London,30.7,12,Any,Defensive,53,Yes,Club B,1010
4348d002,Player_62,40,Male,Intermediate,Evening,Madrid,48.25,282,Outdoor,Aggressive,48,No,No Club,1102
d096e78f,Player_63,55,Female,Professional,Afternoon,London,62.27,218,Indoor,Aggressive,69,No,Club C,1331
37720640,Player_64,18,Female,Advanced,Afternoon,Beirut,62.89,311,Any,Aggressive,67,Yes,No Club,1578
c3b465f6,Player_65,19,Male,Professional,Morning,Madrid,85.15,215,Any,Aggressive,88,Yes,No Club,1469
353b3ead,Player_66,42,Female,Beginner,Morning,Madrid,48.41,120,Any,Defensive,88,No,Club A,2313
a5b7be88,Player_67,42,Male,Intermediate,Evening,Cairo,56.74,269,Any,Defensive,70,Yes,Club C,2456
635d9e5c,Player_68,42,Male,Advanced,Evening,Beirut,30.23,184,Outdoor,Defensive,79,No,Club A,2463
1ffb5360,Player_69,20,Female,Beginner,Afternoon,Dubai,70.35,499,Indoor,Defensive,98,Yes,Club C,2243
149e6214,Player_70,50,Female,Beginner,Afternoon,London,67.8,83,Indoor,Aggressive,79,No,Club C,1054
d065cdbc,Player_71,50,Female,Intermediate,Morning,Riyadh,52.26,166,Any,Balanced,67,No,Club B,1873
c43110d8,Player_72,49,Male,Advanced,Morning,Dubai,72.83,263,Indoor,Defensive,86,Yes,Club B,2309
06908dd2,Player_73,41,Female,Professional,Afternoon,Dubai,64.63,334,Any,Defensive,34,Yes,No Club,1260
1887191e,Player_74,38,Male,Intermediate,Morning,Riyadh,82.38,452,Indoor,Aggressive,112,Yes,No Club,2074
05b0e0c5,Player_75,33,Female,Professional,Evening,Dubai,64.49,457,Indoor,Aggressive,51,No,Club B,2378
b3a66f5a,Player_76,21,Male,Professional,Morning,Madrid,45.0,145,Any,Balanced,118,Yes,Club B,1930
304db193,Player_77,27,Female,Beginner,Afternoon,Dubai,86.2,470,Indoor,Aggressive,94,No,No Club,2050
79ecba2c,Player_78,23,Male,Advanced,Afternoon,Beirut,36.21,21,Outdoor,Balanced,109,Yes,Club C,1311
629a0f17,Player_79,30,Male,Professional,Morning,Riyadh,72.97,204,Outdoor,Defensive,32,No,No Club,1803
7873659b,Player_80,50,Female,Professional,Afternoon,Cairo,42.87,220,Outdoor,Balanced,87,Yes,Club A,1763
c94447dc,Player_81,22,Male,Professional,Evening,Cairo,61.84,417,Any,Aggressive,71,No,Club B,1573
c2b9e384,Player_82,37,Male,Professional,Evening,Madrid,43.91,286,Indoor,Balanced,36,Yes,Club A,2312
d5f5ec62,Player_83,43,Female,Beginner,Morning,Beirut,55.26,283,Indoor,Aggressive,94,Yes,Club C,2444
b992aced,Player_84,36,Male,Professional,Morning,Beirut,43.45,56,Indoor,Aggressive,58,Yes,Club C,2124
96fa6912,Player_85,30,Female,Professional,Afternoon,Dubai,39.64,371,Any,Balanced,86,No,Club C,1841
521a05a1,Player_86,50,Female,Beginner,Afternoon,Cairo,56.54,401,Outdoor,Balanced,88,Yes,Club B,2500
46ef02ed,Player_87,18,Male,Advanced,Afternoon,Riyadh,87.0,92,Outdoor,Aggressive,95,Yes,Club C,1453
a4961cb8,Player_88,42,Female,Intermediate,Morning,Dubai,72.44,449,Outdoor,Balanced,83,No,No Club,1088
b2b12378,Player_89,50,Male,Professional,Evening,Madrid,87.71,120,Outdoor,Balanced,117,No,Club A,1346
ff40bd47,Player_90,47,Male,Advanced,Evening,Cairo,76.14,266,Indoor,Aggressive,107,Yes,Club B,2463
b13302f0,Player_91,44,Male,Beginner,Evening,Riyadh,33.92,72,Indoor,Aggressive,104,Yes,Club C,1420
e515cc90,Player_92,38,Female,Professional,Morning,Riyadh,57.69,457,Outdoor,Defensive,40,Yes,Club A,2194
1346bee9,Player_93,33,Female,Advanced,Evening,Madrid,63.79,229,Any,Defensive,114,Yes,No Club,1867
ad6fb335,Player_94,46,Male,Advanced,Evening,London,43.59,381,Any,Aggressive,32,Yes,Club C,2407
b0fc7a7a,Player_95,37,Male,Advanced,Morning,Cairo,46.78,182,Indoor,Aggressive,108,Yes,Club A,2146
777ecc18,Player_96,22,Male,Intermediate,Morning,London,73.35,160,Outdoor,Balanced,116,No,No Club,1386
46503a8e,Player_97,38,Male,Professional,Morning,Riyadh,44.3,235,Outdoor,Aggressive,81,No,No Club,1765
56f3f01b,Player_98,25,Male,Advanced,Morning,Beirut,47.16,334,Outdoor,Aggressive,49,Yes,No Club,2251
e2d0620a,Player_99,51,Male,Professional,Afternoon,Riyadh,47.11,221,Indoor,Defensive,74,No,No Club,1476
87c2c081,Player_100,28,Male,Professional,Afternoon,Cairo,81.49,180,Indoor,Aggressive,90,No,Club A,1295
8d6aafcc,Player_101,27,Male,Professional,Morning,Madrid,79.82,122,Outdoor,Balanced,51,Yes,Club C,1559
51e4980b,Player_102,24,Male,Professional,Evening,London,54.17,285,Indoor,Aggressive,99,Yes,No Club,1263
55fcc393,Player_103,18,Male,Professional,Afternoon,Beirut,72.12,252,Outdoor,Defensive,54,No,Club C,1573
d14ed287,Player_104,18,Female,Intermediate,Evening,Cairo,46.72,391,Indoor,Balanced,43,No,Club A,1461
6296dd28,Player_105,46,Male,Beginner,Afternoon,Riyadh,75.7,166,Outdoor,Defensive,36,No,Club A,2150
aa479cb3,Player_106,23,Male,Intermediate,Afternoon,Madrid,64.82,281,Any,Aggressive,71,No,Club C,1775
31a0daef,Player_107,31,Female,Beginner,Afternoon,London,68.99,409,Indoor,Balanced,87,Yes,Club C,1472
0f2a0cdb,Player_108,18,Female,Professional,Evening,Madrid,58.37,337,Outdoor,Defensive,54,Yes,No Club,2445
50aeb15d,Player_109,18,Male,Professional,Morning,Beirut,38.28,39,Outdoor,Balanced,104,Yes,Club A,1636
9abb3ded,Player_110,49,Female,Beginner,Morning,London,79.75,429,Indoor,Defensive,110,No,Club A,1566
d36539ef,Player_111,51,Female,Professional,Afternoon,Cairo,58.54,205,Indoor,Defensive,52,Yes,Club B,2371
05fccfb4,Player_112,44,Male,Beginner,Morning,Madrid,73.76,37,Any,Balanced,55,No,Club A,2437
3037e48c,Player_113,19,Male,Intermediate,Afternoon,Riyadh,65.6,223,Outdoor,Balanced,45,Yes,No Club,2372
618fa0ef,Player_114,47,Male,Advanced,Morning,Beirut,51.18,336,Outdoor,Aggressive,74,Yes,Club A,1907
cd56ee71,Player_115,38,Female,Professional,Morning,Dubai,59.74,256,Any,Balanced,74,Yes,Club C,1165
2b73032d,Player_116,23,Female,Professional,Afternoon,Beirut,78.2,300,Indoor,Defensive,56,No,No Club,2047
0d2f1008,Player_117,43,Female,Advanced,Evening,Riyadh,76.3,477,Any,Balanced,42,No,Club C,1128
3a060ba8,Player_118,54,Male,Intermediate,Evening,Riyadh,69.96,327,Indoor,Aggressive,36,No,Club C,1522
a6dde043,Player_119,44,Female,Advanced,Afternoon,Cairo,48.49,77,Indoor,Balanced,57,Yes,No Club,1254
15fb72da,Player_120,49,Male,Advanced,Afternoon,Dubai,35.73,55,Indoor,Defensive,58,No,No Club,1347
3a181f95,Player_121,24,Female,Advanced,Evening,London,42.06,470,Any,Defensive,64,Yes,Club A,2427
e29682d8,Player_122,55,Male,Professional,Morning,Madrid,45.95,36,Indoor,Defensive,112,No,Club C,1877
1fe4198e,Player_123,45,Female,Advanced,Evening,Cairo,55.79,189,Indoor,Defensive,88,No,Club B,1821
532678d7,Player_124,42,Female,Intermediate,Afternoon,Cairo,46.01,295,Indoor,Defensive,63,Yes,Club B,1784
33c457c4,Player_125,54,Male,Advanced,Evening,Dubai,41.29,319,Indoor,Balanced,36,No,Club A,2464
e37f75f2,Player_126,35,Male,Intermediate,Afternoon,Madrid,81.41,473,Outdoor,Defensive,91,No,Club C,1346
de95771d,Player_127,28,Female,Professional,Evening,Dubai,31.82,52,Outdoor,Aggressive,55,No,Club C,2476
225ecadf,Player_128,23,Female,Beginner,Morning,Cairo,52.83,232,Indoor,Balanced,43,Yes,No Club,2468
d72552ec,Player_129,24,Male,Beginner,Evening,Riyadh,76.58,435,Any,Aggressive,54,No,Club C,1591
cf55c302,Player_130,25,Male,Beginner,Evening,Riyadh,54.16,226,Outdoor,Defensive,70,Yes,Club C,1447
502d792d,Player_131,54,Male,Intermediate,Evening,Dubai,57.19,136,Any,Balanced,33,Yes,No Club,2361
873099e6,Player_132,33,Male,Beginner,Evening,London,75.94,295,Outdoor,Aggressive,68,Yes,Club A,1533
16a21005,Player_133,23,Male,Advanced,Evening,Madrid,74.5,452,Indoor,Balanced,107,Yes,No Club,1840
be8ea46a,Player_134,38,Male,Advanced,Morning,London,44.3,42,Any,Defensive,60,Yes,Club B,1457
c8c44a9e,Player_135,51,Male,Advanced,Afternoon,Dubai,69.2,396,Outdoor,Balanced,84,No,No Club,2138
d98c3185,Player_136,43,Female,Professional,Afternoon,Beirut,34.7,490,Any,Balanced,86,Yes,No Club,1327
1385458e,Player_137,41,Female,Advanced,Morning,Riyadh,70.34,481,Outdoor,Balanced,95,Yes,Club A,2492
dd737616,Player_138,33,Male,Intermediate,Morning,Beirut,43.81,74,Any,Balanced,35,No,Club A,2391
0b567bba,Player_139,51,Male,Advanced,Morning,Beirut,67.07,321,Outdoor,Balanced,116,Yes,Club B,1805
fe1ba23f,Player_140,41,Female,Professional,Evening,Madrid,56.72,351,Any,Balanced,51,No,Club A,1475
4265f12f,Player_141,27,Male,Intermediate,Afternoon,Madrid,38.46,213,Any,Aggressive,34,Yes,Club B,1731
9fc0d05e,Player_142,39,Male,Beginner,Afternoon,Riyadh,60.77,59,Outdoor,Balanced,57,No,Club A,1951
04eadbe8,Player_143,21,Female,Advanced,Morning,London,81.08,376,Any,Aggressive,76,No,Club C,1307
f1f461ca,Player_144,18,Male,Advanced,Morning,London,81.28,89,Indoor,Defensive,38,No,Club C,1046
bf231cf3,Player_145,36,Female,Beginner,Morning,Cairo,42.21,457,Indoor,Aggressive,73,No,Club C,2409
281c6e89,Player_146,29,Male,Beginner,Evening,Dubai,79.07,226,Any,Balanced,78,Yes,No Club,2442
50426b42,Player_147,31,Male,Professional,Evening,Madrid,81.06,75,Any,Aggressive,81,No,No Club,1737
9e935aef,Player_148,24,Male,Advanced,Afternoon,Dubai,81.12,229,Indoor,Balanced,42,No,Club A,2483
eb463902,Player_149,44,Male,Beginner,Afternoon,Dubai,30.4,471,Indoor,Aggressive,60,Yes,Club B,1449
1082df68,Player_150,23,Male,Professional,Evening,London,32.03,493,Outdoor,Defensive,56,Yes,Club C,1565
f29b564b,Player_151,37,Male,Advanced,Afternoon,Madrid,37.19,404,Outdoor,Aggressive,38,Yes,Club A,1815
bdaa6080,Player_152,50,Female,Advanced,Afternoon,Cairo,74.48,112,Outdoor,Aggressive,105,Yes,Club C,1600
62469983,Player_153,49,Female,Intermediate,Afternoon,Madrid,80.55,11,Outdoor,Balanced,80,Yes,Club C,1141
98fc58d1,Player_154,44,Female,Advanced,Afternoon,London,72.41,16,Any,Balanced,67,No,Club A,1221
7941ab8d,Player_155,52,Female,Beginner,Afternoon,London,59.42,53,Any,Aggressive,81,Yes,Club A,1314
120bcde8,Player_156,54,Male,Advanced,Evening,Dubai,61.49,483,Any,Aggressive,49,Yes,Club A,1518
f5286fbd,Player_157,45,Male,Intermediate,Evening,Madrid,41.62,233,Any,Defensive,83,No,Club A,1851
b77b6a1e,Player_158,19,Female,Intermediate,Morning,Riyadh,58.86,484,Outdoor,Defensive,119,No,Club C,2270
5d928ed8,Player_159,46,Female,Professional,Afternoon,Riyadh,44.13,87,Any,Defensive,69,Yes,No Club,1012
f4e83d6a,Player_160,54,Female,Beginner,Afternoon,Dubai,79.78,73,Indoor,Aggressive,77,Yes,No Club,1459
251a527f,Player_161,21,Male,Beginner,Afternoon,Beirut,69.91,178,Outdoor,Balanced,102,Yes,Club B,1165
6b59f8f0,Player_162,38,Female,Intermediate,Morning,Madrid,32.4,373,Indoor,Aggressive,80,No,Club C,1395
f129666f,Player_163,30,Female,Intermediate,Evening,London,70.07,90,Any,Balanced,53,No,Club C,2454
630cc02d,Player_164,52,Female,Beginner,Evening,Beirut,51.45,239,Indoor,Aggressive,77,Yes,No Club,1908
c74d1f72,Player_165,48,Female,Professional,Afternoon,Beirut,79.69,429,Any,Aggressive,103,Yes,Club C,1465
46ea11aa,Player_166,39,Male,Advanced,Morning,Madrid,51.12,165,Any,Aggressive,107,No,Club C,1680
a5f4684f,Player_167,43,Male,Advanced,Afternoon,Cairo,77.76,320,Indoor,Defensive,86,Yes,Club A,2100
bff6e399,Player_168,38,Female,Professional,Evening,Dubai,65.89,242,Outdoor,Balanced,32,Yes,No Club,1976
c6f4d770,Player_169,28,Female,Intermediate,Morning,Beirut,76.6,249,Indoor,Aggressive,99,Yes,Club B,1502
4e4ddbed,Player_170,55,Female,Professional,Evening,London,79.35,273,Outdoor,Balanced,41,Yes,Club A,2414
37ae9416,Player_171,44,Female,Beginner,Evening,Dubai,85.62,484,Outdoor,Aggressive,53,No,Club C,1540
e663c264,Player_172,30,Male,Professional,Morning,London,68.54,198,Outdoor,Aggressive,117,No,Club B,1105
1e0524d0,Player_173,41,Male,Intermediate,Afternoon,London,50.21,259,Any,Balanced,49,No,Club C,2407
a7c08e7f,Player_174,28,Male,Intermediate,Evening,Madrid,52.67,99,Indoor,Defensive,67,No,Club C,1073
57a68709,Player_175,37,Male,Advanced,Morning,Madrid,77.47,442,Indoor,Aggressive,108,Yes,No Club,1479
d9984512,Player_176,19,Male,Beginner,Evening,Dubai,46.96,385,Indoor,Aggressive,108,Yes,Club A,1642
1d85d64f,Player_177,50,Male,Advanced,Morning,Dubai,85.05,149,Indoor,Defensive,105,No,Club B,1694
ae10dc15,Player_178,48,Female,Beginner,Evening,Dubai,40.25,97,Indoor,Defensive,98,No,Club C,1768
f6674777,Player_179,32,Female,Beginner,Afternoon,Riyadh,40.29,180,Any,Defensive,53,No,Club B,2360
bcaf6023,Player_180,21,Female,Advanced,Afternoon,Dubai,61.6,130,Outdoor,Defensive,100,Yes,Club C,2215
9c4ab225,Player_181,36,Female,Beginner,Morning,Madrid,31.12,197,Indoor,Balanced,71,No,Club B,2108
2cff89fd,Player_182,42,Male,Intermediate,Morning,Beirut,81.45,29,Any,Balanced,55,Yes,Club C,1057
de51e35b,Player_183,39,Female,Intermediate,Afternoon,Beirut,30.79,201,Any,Defensive,50,No,Club A,1435
7759071f,Player_184,18,Male,Professional,Evening,London,32.86,435,Any,Balanced,94,Yes,Club B,1546
3e4afe98,Player_185,55,Female,Professional,Evening,Cairo,40.77,474,Outdoor,Defensive,38,Yes,Club B,2117
8b7ba6b8,Player_186,26,Male,Beginner,Morning,Dubai,74.86,348,Outdoor,Balanced,40,No,Club C,1649
bdc26be4,Player_187,20,Male,Professional,Evening,Cairo,75.63,140,Outdoor,Defensive,113,Yes,Club C,1590
6657e110,Player_188,51,Female,Professional,Afternoon,Beirut,59.27,246,Any,Aggressive,77,No,Club B,1286
2b852410,Player_189,43,Male,Advanced,Evening,Riyadh,41.76,14,Outdoor,Balanced,116,No,Club A,2444
826ebf88,Player_190,26,Male,Beginner,Evening,Madrid,54.27,337,Indoor,Balanced,66,Yes,Club A,1924
1071e8ac,Player_191,35,Female,Beginner,Evening,Riyadh,33.32,247,Any,Balanced,105,No,Club C,1087
404f9fa6,Player_192,20,Female,Professional,Afternoon,Madrid,62.9,27,Indoor,Balanced,46,Yes,No Club,2369
e166f666,Player_193,26,Female,Advanced,Morning,London,69.65,129,Indoor,Aggressive,86,Yes,Club B,1971
14bdf671,Player_194,54,Female,Advanced,Morning,Dubai,85.15,105,Outdoor,Defensive,43,Yes,Club C,1470
d7b624b6,Player_195,49,Male,Professional,Afternoon,Riyadh,30.99,227,Any,Aggressive,34,No,Club A,1890
3b199cd6,Player_196,30,Male,Beginner,Morning,London,80.74,151,Outdoor,Defensive,109,No,Club B,1900
fc3c7de3,Player_197,48,Female,Advanced,Morning,Beirut,44.2,114,Indoor,Aggressive,90,Yes,Club A,1360
fdd67c85,Player_198,54,Male,Professional,Afternoon,Riyadh,58.56,443,Indoor,Aggressive,109,No,Club A,1057
da497eca,Player_199,51,Female,Beginner,Morning,Madrid,88.89,362,Outdoor,Defensive,96,No,Club A,1152
37469ee2,Player_200,41,Female,Professional,Morning,Madrid,78.15,160,Any,Balanced,65,No,No Club,1099
6cdf11ae,Player_201,27,Female,Advanced,Evening,Riyadh,50.27,135,Outdoor,Defensive,63,Yes,Club C,2447
3572953a,Player_202,47,Male,Beginner,Evening,Riyadh,45.92,311,Any,Defensive,30,Yes,Club A,2055
8b423be9,Player_203,51,Male,Professional,Afternoon,Madrid,36.39,407,Outdoor,Defensive,61,Yes,Club A,2271
e8835c3b,Player_204,35,Male,Advanced,Afternoon,London,37.23,442,Outdoor,Defensive,36,Yes,Club C,2074
769ddc17,Player_205,23,Female,Beginner,Evening,Dubai,78.33,482,Any,Aggressive,120,Yes,Club A,2439
4cc9d48d,Player_206,45,Male,Intermediate,Afternoon,Riyadh,43.03,382,Indoor,Aggressive,113,Yes,Club A,2052
e70b2cda,Player_207,20,Male,Intermediate,Morning,Dubai,84.49,182,Outdoor,Defensive,61,Yes,Club A,2287
1a5ed446,Player_208,21,Female,Beginner,Morning,Riyadh,40.8,242,Outdoor,Defensive,49,Yes,Club C,1542
b4d86fb6,Player_209,38,Female,Intermediate,Morning,Madrid,64.8,341,Indoor,Balanced,36,Yes,No Club,1563
422faf26,Player_210,49,Female,Intermediate,Afternoon,Riyadh,61.06,144,Outdoor,Defensive,97,No,Club C,2133
3f28cab6,Player_211,38,Female,Intermediate,Evening,Dubai,53.32,218,Any,Aggressive,70,No,Club A,2432
770e227a,Player_212,24,Male,Advanced,Evening,Dubai,86.39,312,Outdoor,Balanced,100,No,Club B,1801
ec25dae2,Player_213,53,Male,Advanced,Morning,Riyadh,47.4,172,Any,Aggressive,39,Yes,No Club,1670
e4111a82,Player_214,45,Male,Beginner,Evening,Beirut,31.38,315,Indoor,Balanced,89,Yes,No Club,1505
e1694113,Player_215,29,Female,Advanced,Evening,London,51.21,200,Outdoor,Balanced,39,No,No Club,1706
ed8e308c,Player_216,26,Male,Beginner,Evening,Madrid,75.65,337,Indoor,Balanced,99,Yes,Club C,2234
b684c60c,Player_217,31,Male,Beginner,Afternoon,London,84.85,60,Any,Balanced,79,Yes,Club B,1416
ecb5ad2d,Player_218,50,Female,Beginner,Afternoon,Dubai,79.8,119,Indoor,Balanced,92,Yes,Club B,1524
ae78649a,Player_219,28,Female,Advanced,Evening,Dubai,89.64,81,Outdoor,Aggressive,112,No,Club B,1507
404b912d,Player_220,50,Male,Intermediate,Evening,Dubai,80.36,36,Indoor,Balanced,45,No,Club A,1208
2544d4ca,Player_221,36,Female,Beginner,Evening,Riyadh,44.84,58,Any,Defensive,120,No,Club B,1697
3198b66e,Player_222,24,Male,Beginner,Evening,Cairo,75.78,175,Indoor,Aggressive,46,No,Club C,1527
04e76b7d,Player_223,42,Male,Beginner,Afternoon,Cairo,58.76,206,Any,Defensive,88,Yes,No Club,1544
ee51e1d5,Player_224,42,Female,Beginner,Morning,Beirut,42.36,493,Indoor,Defensive,48,Yes,Club A,2239
58a5fdc6,Player_225,52,Male,Professional,Evening,Cairo,77.7,229,Indoor,Balanced,98,Yes,Club B,1418
81e27ec4,Player_226,37,Male,Professional,Afternoon,Riyadh,79.57,39,Any,Defensive,46,No,Club A,1939
ada22a3d,Player_227,19,Male,Beginner,Afternoon,London,89.43,85,Outdoor,Defensive,67,Yes,No Club,2200
976a7ee1,Player_228,46,Female,Professional,Afternoon,London,72.8,200,Indoor,Aggressive,42,Yes,Club A,1996
b6b14947,Player_229,35,Male,Advanced,Afternoon,Riyadh,56.55,56,Indoor,Aggressive,85,Yes,Club C,1431
e4883998,Player_230,25,Male,Advanced,Afternoon,Riyadh,80.05,47,Outdoor,Defensive,58,No,Club C,1394
78776a45,Player_231,34,Female,Intermediate,Morning,London,47.74,422,Indoor,Defensive,72,No,Club B,1923
b63880a5,Player_232,33,Female,Professional,Afternoon,Madrid,40.24,337,Indoor,Defensive,64,Yes,Club C,1351
d12f4bf6,Player_233,27,Female,Advanced,Afternoon,Cairo,61.0,399,Any,Aggressive,117,No,Club B,2365
4290947f,Player_234,48,Male,Beginner,Evening,Riyadh,67.61,481,Indoor,Balanced,36,No,No Club,2370
